Index,GSM2638145,GSM2638109,GSM2638111,GSM2638153,GSM2638144,GSM2638113,GSM2638140,GSM2638139,GSM2638138,GSM2638155,GSM2638141,GSM2638105,GSM2638154,GSM2638142,GSM2638104,GSM2638148,GSM2638149,GSM2638103,GSM2638156,GSM2638150
GNAI3,891,134.0,197.0,1544,911,200.0,1370,1190,711,1140,1158,241.0,1252,981,307.0,1479,1249,249.0,1147,980
PBSN,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0
CDC45,60,11.0,13.0,136,71,19.0,75,69,36,78,70,12.0,103,52,14.0,108,90,8.0,73,75
H19,1,0.0,0.0,8,1,2.0,14,1,2,1,2,0.0,3,3,0.0,1,19,0.0,0,2
SCML2,14,6.0,9.0,28,16,7.0,35,44,31,39,28,9.0,26,24,4.0,32,41,3.0,48,37
APOH,21,4.0,3.0,15,14,5.0,11,9,8,12,26,4.0,9,11,0.0,9,19,7.0,7,11
NARF,1523,299.0,343.0,2470,1560,443.0,2344,1913,994,1878,1691,388.0,2099,1720,405.0,2383,1826,354.0,1810,1751
CAV2,533,38.0,129.0,650,477,107.0,974,981,661,786,799,115.0,680,727,219.0,983,1202,151.0,1150,549
KLF6,599,107.0,287.0,1058,642,267.0,993,930,540,965,673,240.0,768,837,214.0,1011,1005,222.0,1232,729
SCMH1,940,254.0,275.0,1584,989,312.0,1218,1265,636,1215,890,307.0,1281,1005,265.0,1236,1158,253.0,936,1005
COX5A,1468,404.0,424.0,2532,1578,631.0,2866,2292,1117,1940,1860,513.0,2001,1718,525.0,2802,2005,512.0,1920,1769
TBX2,16,8.0,10.0,30,20,23.0,25,12,13,29,18,15.0,12,29,11.0,16,34,6.0,27,20
TBX4,4,0.0,1.0,12,9,0.0,2,6,4,9,8,1.0,8,11,3.0,5,11,0.0,9,6
ZFY2,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
NGFR,28,13.0,12.0,29,33,18.0,129,41,25,38,16,14.0,51,38,26.0,92,68,17.0,30,28
WNT3,56,14.0,8.0,55,52,22.0,142,47,32,39,72,15.0,50,25,29.0,103,41,17.0,20,36
WNT9A,199,93.0,33.0,257,325,96.0,271,184,159,211,246,40.0,297,142,52.0,252,195,37.0,126,321
FER,430,94.0,138.0,884,504,147.0,684,522,262,503,512,164.0,680,411,139.0,624,495,139.0,510,518
XPO6,2143,642.0,612.0,3427,2249,858.0,2603,2568,1379,2578,2140,692.0,2860,2123,687.0,2854,2297,631.0,2059,2251
TFE3,773,222.0,228.0,1256,738,341.0,1030,1011,547,976,755,252.0,1069,904,229.0,1098,939,223.0,810,847
AXIN2,372,112.0,130.0,487,406,129.0,559,428,301,486,332,99.0,464,412,115.0,515,547,86.0,370,391
BRAT1,459,131.0,134.0,664,465,164.0,623,580,303,570,472,128.0,561,492,154.0,516,581,126.0,448,516
GNA12,2386,621.0,498.0,3378,2619,962.0,2656,2934,1435,2825,2139,758.0,3089,2138,988.0,3206,2417,771.0,1611,2419
SLC22A18,6,3.0,4.0,14,3,6.0,8,4,4,7,4,0.0,9,13,2.0,10,25,2.0,10,7
ITGB2L,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0
IGSF5,11,1.0,1.0,8,5,1.0,7,11,3,10,7,2.0,11,11,3.0,9,12,2.0,11,1
PIH1D2,48,6.0,9.0,81,45,20.0,80,71,24,64,65,10.0,59,71,14.0,74,58,11.0,88,67
DLAT,2962,487.0,658.0,4769,2634,795.0,4444,3901,2071,3353,3848,826.0,3568,2714,892.0,4615,3628,897.0,3404,3035
SDHD,2383,311.0,394.0,3824,2521,496.0,3672,3420,1892,2970,2523,451.0,3387,2939,539.0,3833,3200,482.0,3055,2822
FGF23,4,3.0,3.0,4,3,0.0,5,5,1,7,1,3.0,5,4,2.0,1,10,2.0,5,4
FGF6,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
CCND2,1877,403.0,534.0,2743,1425,569.0,2415,2025,1175,2160,1899,322.0,2009,1916,565.0,2621,2551,467.0,1805,1741
GPR107,1302,335.0,386.0,2110,1393,465.0,1821,1729,901,1595,1374,406.0,1546,1466,360.0,1744,1590,355.0,1514,1414
NALCN,2226,414.0,871.0,4345,2264,624.0,3606,3670,2091,3736,2669,879.0,3401,2884,903.0,4079,3760,772.0,4486,2748
BTBD17,230,75.0,71.0,332,283,104.0,253,263,101,244,154,98.0,313,220,103.0,228,258,70.0,133,282
SLFN4,0,0.0,0.0,1,2,0.0,1,0,0,2,0,0.0,1,2,1.0,4,4,0.0,1,2
TH,5,2.0,3.0,8,11,10.0,66,20,18,12,11,1.0,16,18,7.0,43,11,7.0,25,11
INS2,0,0.0,0.0,1,0,0.0,0,1,4,3,0,0.0,1,5,0.0,0,2,0.0,0,2
SCNN1G,2,1.0,1.0,3,3,1.0,14,2,1,1,3,0.0,1,1,3.0,15,7,1.0,1,3
DRP2,2072,664.0,525.0,3377,2112,794.0,2528,2417,1219,2376,1937,818.0,3059,2007,723.0,2676,2284,652.0,1994,2300
TSPAN32,2,1.0,2.0,8,4,1.0,4,5,0,8,2,2.0,6,11,4.0,8,6,0.0,1,9
LHX2,1184,219.0,237.0,1720,1306,369.0,1264,1648,950,1777,1263,415.0,1451,1189,397.0,1487,1605,350.0,1254,1293
CLEC2G,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
GMPR,2180,377.0,250.0,3078,2050,431.0,2500,2317,1267,2154,2136,492.0,2975,2026,499.0,2459,1776,502.0,1694,2355
GLRA1,3,1.0,0.0,0,0,1.0,4,2,0,0,0,1.0,0,0,0.0,3,0,0.0,1,2
MID2,551,100.0,170.0,797,529,159.0,884,780,493,689,601,196.0,590,555,232.0,874,748,181.0,823,444
TRIM25,145,40.0,35.0,185,172,72.0,195,157,113,124,181,39.0,171,157,44.0,215,192,68.0,146,133
DGKE,2493,453.0,692.0,4194,2379,789.0,3266,3040,1612,2862,2864,774.0,3041,2176,824.0,3861,2980,741.0,2796,2656
SCPEP1,239,57.0,77.0,415,296,96.0,413,412,211,347,274,79.0,355,382,78.0,380,390,73.0,376,295
MNT,768,264.0,291.0,1082,745,336.0,968,868,504,984,652,302.0,964,843,287.0,989,946,262.0,751,747
ITGB2,126,38.0,34.0,210,142,51.0,120,192,81,154,121,52.0,231,305,40.0,185,166,50.0,102,166
HDDC2,306,56.0,55.0,318,307,68.0,395,453,272,323,382,62.0,223,339,70.0,318,350,59.0,263,226
TPD52L1,480,61.0,117.0,218,293,76.0,604,432,485,292,522,60.0,158,457,118.0,209,333,92.0,183,133
PEMT,58,7.0,7.0,92,66,13.0,86,86,27,82,64,8.0,76,65,13.0,87,79,7.0,88,83
CDH1,7,1.0,1.0,5,13,19.0,68,6,20,1,3,4.0,5,23,0.0,32,190,2.0,22,5
CDH4,162,44.0,111.0,326,171,86.0,323,349,198,363,154,76.0,296,409,59.0,288,337,62.0,426,216
CKMT1,4411,1066.0,1174.0,6704,4366,1608.0,7660,7105,3928,6482,4754,1244.0,6313,6389,1422.0,6314,5891,1197.0,7031,4751
BCL6B,50,6.0,1.0,66,57,13.0,55,57,20,62,43,9.0,67,32,19.0,65,44,17.0,43,63
CLEC10A,1,0.0,1.0,4,4,1.0,17,14,6,9,3,2.0,5,18,1.0,14,31,0.0,13,9
ALOX12,18,8.0,1.0,32,18,8.0,14,16,7,13,23,4.0,20,28,5.0,18,31,6.0,11,10
COMT,1843,450.0,405.0,3110,2040,601.0,2476,2218,1194,2138,1913,434.0,2503,1911,453.0,2540,2094,411.0,1678,2007
RTCA,790,128.0,145.0,1191,818,165.0,961,920,550,974,883,159.0,817,671,210.0,1049,819,156.0,779,804
DBT,523,100.0,148.0,848,564,148.0,838,673,391,665,754,148.0,768,612,158.0,847,726,113.0,695,654
DAZAP2,3076,513.0,686.0,5187,3221,784.0,4384,4161,2080,3542,3114,822.0,4140,3098,893.0,4705,3741,804.0,3170,3309
MCTS1,1247,105.0,266.0,2740,1384,183.0,1871,1926,959,1653,1543,362.0,1891,1266,320.0,2147,1917,284.0,1726,1590
REM1,11,4.0,1.0,5,4,3.0,10,2,6,5,3,2.0,6,7,4.0,3,5,0.0,4,5
RNF17,13,2.0,9.0,3,3,2.0,14,1,30,1,19,0.0,8,3,21.0,18,5,8.0,4,0
TRAPPC10,2353,679.0,783.0,3666,2301,983.0,3120,3035,1646,3009,2359,841.0,2978,2486,794.0,3133,2749,782.0,2598,2360
CCM2,1155,240.0,234.0,1980,1244,361.0,1451,1426,718,1539,1207,304.0,1659,1297,299.0,1550,1335,273.0,1243,1328
WAP,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0
TBRG4,609,143.0,206.0,951,631,219.0,807,733,438,729,590,204.0,767,615,182.0,831,738,178.0,610,733
TMPRSS2,1,0.0,0.0,2,0,1.0,16,0,1,1,0,0.0,1,0,0.0,4,1,1.0,2,2
MX1,5,2.0,2.0,3,9,1.0,2,4,2,2,5,2.0,4,5,1.0,17,17,1.0,6,1
FAP,14,2.0,2.0,16,7,6.0,16,12,4,16,10,2.0,14,18,2.0,23,22,2.0,13,9
GCG,0,0.0,0.0,0,0,0.0,0,0,1,1,0,0.0,0,0,0.0,0,0,0.0,1,0
NDUFA9,2854,517.0,633.0,5482,3351,719.0,4426,4314,2184,3861,3217,687.0,4082,3449,702.0,4345,3530,727.0,3937,3328
EGFL6,174,26.0,18.0,118,169,19.0,128,147,87,101,154,29.0,185,97,42.0,154,90,50.0,54,110
LCK,27,5.0,7.0,25,17,8.0,31,47,31,31,30,7.0,30,34,6.0,30,28,7.0,32,13
TSSK3,1,0.0,1.0,1,1,0.0,1,3,1,0,0,0.0,0,0,0.0,0,1,2.0,0,1
CTTNBP2,4026,1232.0,1037.0,5932,4759,1346.0,5466,5163,2886,4931,4591,1559.0,6345,3933,1699.0,5409,4691,1139.0,4764,4300
GALNT1,1017,216.0,286.0,1743,1276,351.0,1631,1349,834,1296,1329,381.0,1504,1213,398.0,1806,1437,377.0,1299,1145
MYF5,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
MKRN2,577,126.0,119.0,932,648,188.0,920,744,460,719,602,146.0,840,610,170.0,869,653,144.0,715,623
PPARG,20,1.0,12.0,15,25,11.0,57,36,26,14,28,2.0,14,22,5.0,33,24,6.0,28,13
RAF1,1945,508.0,500.0,3146,2292,638.0,2762,2515,1384,2241,2055,548.0,2795,2118,601.0,2780,2191,505.0,2078,2217
SEPTIN1,11,7.0,7.0,13,10,2.0,16,7,15,6,12,4.0,13,2,3.0,19,14,4.0,13,7
PDGFB,658,189.0,160.0,976,601,241.0,678,713,404,825,628,193.0,783,643,173.0,798,731,120.0,519,653
ACVRL1,184,45.0,40.0,257,168,81.0,167,264,127,252,128,46.0,222,244,42.0,177,330,52.0,170,165
TAMALIN,936,365.0,251.0,1624,1036,414.0,1037,1129,596,1194,908,335.0,1304,1084,291.0,1203,1083,268.0,966,1137
ACVR1B,2721,699.0,687.0,4514,3030,922.0,3595,3391,1901,3436,2885,956.0,3683,2647,846.0,3810,3145,722.0,2830,3092
TOM1L2,6635,1852.0,2064.0,10125,6958,2793.0,9445,8512,4687,8416,6346,2267.0,8666,7431,2264.0,9371,8081,2012.0,6953,6846
GPA33,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1
ZFP385A,655,265.0,255.0,849,651,435.0,1733,877,554,875,481,282.0,763,747,340.0,1174,954,271.0,626,545
ITGA5,16,9.0,10.0,60,38,13.0,59,41,18,37,31,11.0,47,52,10.0,30,67,5.0,43,21
GABRA2,2726,488.0,1093.0,3889,2498,820.0,2584,4615,2475,3928,3007,1061.0,3166,2216,1072.0,3927,3796,970.0,2925,2781
WDR77,1223,256.0,348.0,1921,1238,322.0,1805,1825,988,1600,1289,373.0,1507,1435,340.0,1836,1520,338.0,1532,1266
ADORA3,24,7.0,7.0,50,46,12.0,23,23,25,34,35,8.0,33,40,8.0,45,33,10.0,20,28
ATP5PB,3817,561.0,852.0,6603,3956,794.0,6245,5574,2958,5023,4586,1015.0,5039,4056,1082.0,6199,5394,1025.0,4776,4580
SOX9,499,167.0,181.0,759,450,221.0,606,529,325,654,429,178.0,547,522,218.0,647,634,206.0,591,456
HNRNPD,2078,395.0,744.0,3528,2218,626.0,3090,3020,1716,2639,2113,784.0,2780,2324,907.0,3040,2819,750.0,2910,2090
DYNLT1C,2,0.0,2.0,5,1,0.0,4,1,0,3,2,1.0,0,3,2.0,2,3,1.0,3,1
C1D,1112,149.0,210.0,1852,1061,155.0,1656,1679,994,1458,1723,233.0,1356,1154,300.0,1979,1516,214.0,1795,1164
GM2A,1484,366.0,435.0,2292,1528,540.0,2080,2004,1003,1791,1274,509.0,1967,1751,458.0,2072,1959,443.0,1615,1529
KRIT1,903,159.0,253.0,1555,946,233.0,1371,1279,685,1124,1187,297.0,1289,992,326.0,1453,1280,251.0,1333,1015
CLCN4,5689,1028.0,1468.0,9273,5670,1669.0,7771,6857,3717,6486,6387,1585.0,7632,5346,1843.0,8281,6448,1615.0,6099,6111
VMN2R88,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
GRM6,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,2,0,0.0,0,0
SEMA4F,1324,304.0,335.0,2292,1341,395.0,1716,1715,909,1661,1196,406.0,1665,1278,350.0,1846,1643,369.0,1330,1457
HK2,114,45.0,28.0,354,157,51.0,183,257,98,344,100,41.0,276,244,30.0,308,391,54.0,316,231
MYO18A,3573,1146.0,1010.0,5504,3732,1617.0,4179,4349,2193,4461,3177,1433.0,4656,3558,1435.0,4206,3906,1241.0,3076,3906
SEZ6,5465,1334.0,1463.0,6647,5188,1750.0,5894,6811,3679,6467,4497,2321.0,6781,5934,1931.0,5617,5389,1615.0,4994,5483
HAAO,2,1.0,1.0,9,3,3.0,3,7,3,6,3,0.0,12,12,0.0,12,9,1.0,2,8
CD52,34,2.0,7.0,74,47,12.0,20,51,22,44,26,7.0,65,101,6.0,69,58,11.0,25,46
ABHD15,10,2.0,4.0,12,10,1.0,8,10,8,15,10,8.0,8,10,4.0,6,8,1.0,9,10
HOXB6,0,0.0,0.0,0,0,0.0,7,0,0,0,0,0.0,0,1,0.0,3,0,0.0,0,0
LOXL3,113,26.0,29.0,201,126,40.0,138,144,79,143,97,31.0,134,145,31.0,142,147,18.0,130,138
TCL1B5,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
BTN1A1,0,2.0,1.0,2,0,2.0,3,1,2,2,2,0.0,1,0,0.0,5,0,0.0,0,0
KAT2B,352,68.0,117.0,526,361,136.0,631,475,272,366,431,157.0,396,332,145.0,609,429,142.0,393,368
